stateid,vaccinateddose1ratio,vaccinateddose2ratio
BR,0.24177548984599842,0.046749179813165585
UP,0.24514998818904624,0.04667285105103669
DL,0.2457419286855964,0.0972424492080357
JH,0.26693976689841753,0.06482084841568223
WB,0.2719258592458717,0.10287613577768949
TN,0.28333659750096435,0.06367113102230265
PB,0.3091125516331164,0.09393361390038935
NL,0.3243145571750749,0.0853514426571214
ML,0.3271487406505602,0.08749467876957985
MH,0.3351307662617839,0.11801372244211962
TL,0.34306167378976027,0.11797796770799823
OR,0.3578881207506951,0.10664620362909441
AS,0.36628239132647317,0.07828408615178262
AP,0.37515174854721806,0.13131472643124734
CT,0.39862961438561006,0.11845543613876229
MN,0.411123141234977,0.09326653112934616
HR,0.4139801089183732,0.12591644615998873
RJ,0.4165454567549075,0.13105872858924558
MP,0.43603537641313694,0.08394997775545943
JK,0.4526121395648639,0.12881318377994708
KA,0.4531132829670325,0.13302889648295055
PY,0.4665518113867802,0.13750083054192944
GJ,0.5002840682907517,0.15922786304073158
AR,0.5077410500770745,0.14466003770975056
KL,0.5175152796374287,0.19932619412986163
UT,0.5449614189238225,0.17101586985584
MZ,0.6023335636152191,0.19859260704006357
AN,0.6116017352416437,0.2556275799369911
TR,0.6625470853043224,0.2256553427853705
LA,0.6910375552792857,0.2666676388772426
CH,0.695039082855654,0.23151357240987255
HP,0.7216329511893042,0.22056209522416595
GA,0.7634725017054668,0.22619048435255684
LD,0.8015448327206738,0.2772478401811611
SK,0.820255266739494,0.2597968806555111
DN,1.0195670544299744,0.1540507295265744
