stateid,vaccinationratio,populationratio,ratioofratios
DN,0.49736935934116583,0.7059649306372998,0.7045241735905673
NL,0.7493866196696385,0.9309070715923209,0.8050069040595096
JK,0.7444533541291248,0.8919171561092959,0.8346664811074664
DL,0.7397172033543211,0.8679572767250237,0.8522507077138889
UP,0.7803817860222526,0.9120822724850121,0.8556045979230195
AR,0.8035077692873357,0.9382318829211443,0.8564063787575082
MN,0.8550147230444628,0.9851395745544583,0.8679122686053434
JH,0.8269780718889734,0.9482036511381978,0.8721523808691218
LD,0.8321525454976428,0.9464722398333484,0.8792149526162177
GA,0.8599948710877546,0.9733000514110994,0.8835865875491593
ML,0.8907719194604441,0.9887554362689632,0.9009021713415233
PB,0.8078169196092966,0.8951060028491479,0.902481848002351
GJ,0.8318296375102961,0.9192528974705998,0.9048974877306822
MH,0.8434346926083097,0.928820043925235,0.9080711577281613
MP,0.8490684371131629,0.9309320997228939,0.9120626921833516
OR,0.8982414274383123,0.9787831833625807,0.9177123623563191
HR,0.8073508399371193,0.8786188745921186,0.9188862922070914
CH,0.7546814967151012,0.8176636017793454,0.9229730846191677
AS,0.8958963376813452,0.9577582478885868,0.9354096815729664
SK,0.8329395722892404,0.8899216887980933,0.935969515940429
WB,0.8948272266504854,0.9499682187369543,0.9419549085970661
TL,0.9323686809707653,0.987902335269874,0.9437862910973501
BR,0.8726523129303121,0.9178884795222505,0.9507171430940246
RJ,0.9041883051847408,0.9281720003520576,0.9741602901636554
TN,0.9784139010597942,0.9964325615920648,0.9819168288684976
UT,0.9538941719207435,0.9631641958490575,0.990375447957612
TR,0.952100055241774,0.9600747128644412,0.9916937114207764
CT,0.9850225311461903,0.9927493246794075,0.9922167728135072
KL,1.0865814795053872,1.0843078720382304,1.002096828332421
MZ,0.9807370165372172,0.975740943819901,1.0051202860236215
AN,0.8819679607776068,0.8759753735132177,1.006841045359934
KA,0.9917287612822852,0.9734286676535268,1.018799624704778
HP,0.9985074414703834,0.9715256702355313,1.0277725767434542
LA,0.7716593393977458,0.749783102401184,1.0291767538192087
PY,1.2089373752584796,1.042586121571622,1.1595563668506303
AP,1.192370317292144,0.9963886832229583,1.1966919510117837
