State Code,State Name,One Total,One Male,One Female
0.0,INDIA,900585907.0,449368972.0,451216935.0
1.0,JAMMU & KASHMIR,6358112.0,3005843.0,3352269.0
2.0,HIMACHAL PRADESH,5621897.0,2797907.0,2823990.0
3.0,PUNJAB,14708114.0,7355282.0,7352832.0
4.0,CHANDIGARH,475530.0,257765.0,217765.0
5.0,UTTARAKHAND,8328536.0,4155011.0,4173525.0
6.0,HARYANA,19724101.0,10237089.0,9487012.0
7.0,DELHI,26758668.0,14182194.0,12576474.0
8.0,RAJASTHAN,61075251.0,31161077.0,29914174.0
9.0,UTTAR PRADESH,173947922.0,89625793.0,84322129.0
10.0,BIHAR,87337667.0,44834662.0,42503005.0
11.0,SIKKIM,221578.0,109730.0,111848.0
12.0,ARUNACHAL PRADESH,497782.0,235499.0,262283.0
13.0,NAGALAND,748779.0,362750.0,386029.0
14.0,MANIPUR,1467174.0,678299.0,788875.0
15.0,MIZORAM,787503.0,381175.0,406328.0
16.0,TRIPURA,2405316.0,1160877.0,1244439.0
17.0,MEGHALAYA,2144569.0,1050752.0,1093817.0
18.0,ASSAM,16744985.0,7960039.0,8784946.0
19.0,WEST BENGAL,76250267.0,38026689.0,38223578.0
20.0,JHARKHAND,21922358.0,10911690.0,11010668.0
21.0,ODISHA,28149194.0,13346538.0,14802656.0
22.0,CHHATTISGARH,19879302.0,9853464.0,10025838.0
23.0,MADHYA PRADESH,62818127.0,32137607.0,30680520.0
24.0,GUJARAT,34547351.0,16431518.0,18115833.0
25.0,DAMAN & DIU,126618.0,79041.0,47577.0
26.0,DADRA & NAGAR HAVELI,144726.0,80549.0,64177.0
27.0,MAHARASHTRA,51159063.0,24257967.0,26901096.0
28.0,ANDHRA PRADESH,62997443.0,30248154.0,32749289.0
29.0,KARNATAKA,34665372.0,16822750.0,17842622.0
30.0,GOA,332393.0,151756.0,180637.0
31.0,LAKSHADWEEP,45920.0,21785.0,24135.0
32.0,KERALA,25242674.0,11734292.0,13508382.0
33.0,TAMIL NADU,51730760.0,25137054.0,26593706.0
34.0,PUDUCHERRY,1097699.0,515881.0,581818.0
35.0,ANDAMAN & NICOBAR ISLANDS,123156.0,60493.0,62663.0
