State Code,State_Code,State Name
0,IN,INDIA
1,JK,JAMMU & KASHMIR
2,HP,HIMACHAL PRADESH
3,PB,PUNJAB
4,CH,CHANDIGARH
5,UT,UTTARAKHAND
6,HR,HARYANA
7,DL,DELHI
8,RJ,RAJASTHAN
9,UP,UTTAR PRADESH
10,BR,BIHAR
11,SK,SIKKIM
12,AR,ARUNACHAL PRADESH
13,NL,NAGALAND
14,MN,MANIPUR
15,MZ,MIZORAM
16,TR,TRIPURA
17,ML,MEGHALAYA
18,AS,ASSAM
19,WB,WEST BENGAL
20,JH,JHARKHAND
21,OR,ODISHA
22,CT,CHHATTISGARH
23,MP,MADHYA PRADESH
24,GJ,GUJARAT
25,DD,DAMAN & DIU
26,DN,DADRA & NAGAR HAVELI
27,MH,MAHARASHTRA
28,AP,ANDHRA PRADESH
29,KA,KARNATAKA
30,GA,GOA
31,LD,LAKSHADWEEP
32,KL,KERALA
33,TN,TAMIL NADU
34,PY,PUDUCHERRY
35,AN,ANDAMAN & NICOBAR ISLANDS
